,title,index,discipline,year,context,files,correctAlternative,alternativesIntroduction,alternatives,dificuldade,tema,subassunto
10,Questão 146 - ENEM 2023,146,matematica,2023,![](https://enem.dev/2023/questions/146/74e0c851-b2af-410d-9f19-3348dd8f883a.jpg),['https://enem.dev/2023/questions/146/74e0c851-b2af-410d-9f19-3348dd8f883a.jpg'],E,"Considere que os números colocados nos vértices do triângulo estejam em progressão aritmética de razão igual a 2.
Nas condições propostas, quais as possíveis soluções para as somas dos números que formam os lados do triângulo?","[{'letter': 'A', 'text': 'Há somente uma solução possível, e as somas em cada lado do triângulo são iguais a 7.', 'file': None, 'isCorrect': False}, {'letter': 'B', 'text': 'Há somente uma solução possível, e as somas em cada lado do triângulo são iguais a 9.', 'file': None, 'isCorrect': False}, {'letter': 'C', 'text': 'Há somente duas soluções possíveis, uma em que as somas em cada lado do triângulo são iguais a 7 e outra em que as somas são iguais a 9.', 'file': None, 'isCorrect': False}, {'letter': 'D', 'text': 'Há somente duas soluções possíveis, uma em que as somas em cada lado do triângulo são iguais a 9 e outra em que as somas são iguais a 12.', 'file': None, 'isCorrect': False}, {'letter': 'E', 'text': 'Há somente duas soluções possíveis, uma em que as somas em cada lado do triângulo são iguais a 10 e outra em que as somas são iguais a 11.', 'file': None, 'isCorrect': True}]",Difícil,Álgebra e Funções,Progressão Aritmética (PA) e Geométrica (PG)
11,Questão 147 - ENEM 2023,147,matematica,2023,,[],D,"Alguns estudos comprovam que os carboidratos fornecem energia ao corpo, preservam as proteínas estruturais dos músculos durante a prática de atividade física e ainda dão força para o cérebro coordenar os movimentos, o que de fato tem impacto positivo no desenvolvimento do praticante. O ideal é consumir 1 grama de carboidrato para cada minuto de caminhada.
CIRINO, C. Boa pergunta: consumir carboidratos antes dos exercícios melhora o desempenho do atleta? Revista Saúde! É Vital, n. 330, nov. 2010 (adaptado).
Um casal realizará diariamente 30 minutos de caminhada, ingerindo, antes dessa atividade, a quantidade ideal de carboidratos recomendada. Para ter o consumo ideal apenas por meio do consumo de pão de fôrma integral, o casal planeja garantir o suprimento de pães para um período de 30 dias ininterruptos. Sabe-se que cada pacote desse pão vem com 18 fatias, e que cada uma delas tem 15 gramas de carboidratos.
A quantidade mínima de pacotes de pão de fôrma necessários para prover o suprimento a esse casal é","[{'letter': 'A', 'text': '1', 'file': None, 'isCorrect': False}, {'letter': 'B', 'text': '4', 'file': None, 'isCorrect': False}, {'letter': 'C', 'text': '6', 'file': None, 'isCorrect': False}, {'letter': 'D', 'text': '7', 'file': None, 'isCorrect': True}, {'letter': 'E', 'text': '8', 'file': None, 'isCorrect': False}]",Média,Matemática Básica,Razão e Proporção
12,Questão 148 - ENEM 2023,148,ciencias-humanas,2023,"O mastro de uma bandeira foi instalado perpendicularmente ao solo em uma região plana. Devido aos fortes ventos, três cabos de aço, de mesmo comprimento, serão instalados para dar sustentação ao mastro. Cada cabo de aço ficará perfeitamente esticado, com uma extremidade num ponto P do mastro, a uma altura h do solo, e a outra extremidade, num ponto no chão, como mostra a figura.

![](https://enem.dev/2023/questions/148/c6c6b6c4-3fba-4a68-99c6-014bb190c456.png)",['https://enem.dev/2023/questions/148/c6c6b6c4-3fba-4a68-99c6-014bb190c456.png'],C,"Os cabos de aço formam um ângulo a com o plano do chão. Por medida de segurança, há apenas três opções de instalação:
• opção I: h = 11 m e a = 30°
• opção II: h = 12 m e a = 45°
• opção III: h = 18 m e a = 60°
A opção a ser escolhida é aquela em que a medida dos cabos seja a menor possível.
Qual será a medida, em metro, de cada um dos cabos a serem instalados?","[{'letter': 'A', 'text': None, 'file': 'https://enem.dev/2023/questions/148/5caf269a-1856-41a0-8c13-b8ad7c53b935.png', 'isCorrect': False}, {'letter': 'B', 'text': None, 'file': 'https://enem.dev/2023/questions/148/43a6cfb3-4059-4789-b8cc-5c60dc86d06c.png', 'isCorrect': False}, {'letter': 'C', 'text': None, 'file': 'https://enem.dev/2023/questions/148/16d931ae-49d5-4a30-9acf-8c5ad6e8eabb.png', 'isCorrect': True}, {'letter': 'D', 'text': None, 'file': 'https://enem.dev/2023/questions/148/5de1f078-227d-45d8-9c32-d593632fbd05.png', 'isCorrect': False}, {'letter': 'E', 'text': None, 'file': 'https://enem.dev/2023/questions/148/a642bb31-dc04-4195-beb4-3a3dfbade22c.png', 'isCorrect': False}]",Média,Combinatória e Trigonometria,Razões Trigonométricas no Triângulo Retângulo
13,Questão 149 - ENEM 2023,149,ciencias-humanas,2023,"Um controlador de voo dispõe de um instrumento que descreve a altitude de uma aeronave em voo, em função da distância em solo. Essa distância em solo é a medida na horizontal entre o ponto de origem do voo até o ponto que representa a projeção ortogonal da posição da aeronave, em voo, no solo. Essas duas grandezas são dadas numa mesma unidade de medida.

A tela do instrumento representa proporcionalmente as dimensões reais das distâncias associadas ao voo. A figura apresenta a tela do instrumento depois de concluída a viagem de um avião, sendo a medida do lado de cada quadradinho da malha igual a 1 cm.

![](https://enem.dev/2023/questions/149/a88a534d-3ee0-4b70-aba7-1b3e7c46b5f3.png)",['https://enem.dev/2023/questions/149/a88a534d-3ee0-4b70-aba7-1b3e7c46b5f3.png'],E,"Essa tela apresenta os dados de um voo cuja maior altitude alcançada foi de 5 km.
A escala em que essa tela representa as medidas reais é","[{'letter': 'A', 'text': '1 : 5.', 'file': None, 'isCorrect': False}, {'letter': 'B', 'text': '1 : 11.', 'file': None, 'isCorrect': False}, {'letter': 'C', 'text': '1 : 55.', 'file': None, 'isCorrect': False}, {'letter': 'D', 'text': '1 : 5000.', 'file': None, 'isCorrect': False}, {'letter': 'E', 'text': '1 : 500 000.', 'file': None, 'isCorrect': True}]",Média,Matemática Básica,Escala
14,Questão 150 - ENEM 2023,150,matematica,2023,"Dirigir após ingerir bebidas alcoólicas é uma atitude extremamente perigosa, uma vez que, a partir da primeira dose, a pessoa já começa a ter perda de sensibilidade de movimentos e de reflexos. Apesar de a eliminação e absorção do álcool depender de cada pessoa e de como o organismo consegue metabolizar a substância, ao final da primeira hora após a ingestão, a concentração de álcool (C) no sangue corresponde a aproximadamente 90% da quantidade (q) de álcool ingerida, e a eliminação total dessa concentração pode demorar até 12 horas.

Disponível em: http://g1.globo.com. Acesso em: 1 dez. 2018 (adaptado).",[],A,"Nessas condições, ao final da primeira hora após a ingestão da quantidade q de álcool, a concentração C dessa substância no sangue é expressa algebricamente por","[{'letter': 'A', 'text': 'C = 0,9q', 'file': None, 'isCorrect': True}, {'letter': 'B', 'text': 'C = 0,1q', 'file': None, 'isCorrect': False}, {'letter': 'C', 'text': 'C = 1 − 0,1q', 'file': None, 'isCorrect': False}, {'letter': 'D', 'text': 'C = 1 − 0,9q', 'file': None, 'isCorrect': False}, {'letter': 'E', 'text': 'C = q − 10', 'file': None, 'isCorrect': False}]",Fácil,Matemática Básica,Porcentagem
15,Questão 151 - ENEM 2023,151,matematica,2023,"Um investidor iniciante observou o gráfico que apresenta a evolução dos valores de duas criptomoedas A e B em relação ao tempo.

![](https://enem.dev/2023/questions/151/276495a3-e5f2-4e4c-83b0-3473512a5274.png)

Durante horas consecutivas, esses valores foram observados em nove instantes, representados por horas exatas.",['https://enem.dev/2023/questions/151/276495a3-e5f2-4e4c-83b0-3473512a5274.png'],B,Em quantos desses instantes a criptomoeda A estava mais valorizada do que a criptomoeda B?,"[{'letter': 'A', 'text': '3', 'file': None, 'isCorrect': False}, {'letter': 'B', 'text': '4', 'file': None, 'isCorrect': True}, {'letter': 'C', 'text': '6', 'file': None, 'isCorrect': False}, {'letter': 'D', 'text': '7', 'file': None, 'isCorrect': False}, {'letter': 'E', 'text': '9', 'file': None, 'isCorrect': False}]",Fácil,Estatística e Probabilidade,Análise de Gráficos/Tabelas
16,Questão 152 - ENEM 2023,152,matematica,2023,"A exposição a alguns níveis sonoros pode causar lesões auditivas. Por isso, em uma indústria, são adotadas medidas preventivas de acordo com a máquina que o funcionário opera e o nível _N_ de intensidade do som, medido em decibel (dB), a que o operário é exposto, sendo ![](https://enem.dev/2023/questions/152/30b0ee85-ac44-4eca-a7c9-54bd70f9c069.png), _I_ a intensidade do som e ![](https://enem.dev/2023/questions/152/40f43a4f-f8da-44a9-a02c-f20ba89a48ce.png).

Disponível em: www.sofisica.com.br. Acesso em: 8 jul. 2015 (adaptado).

Quando o som é considerado baixo, ou seja, _N_ = 48 dB ou menos, deve ser utilizada a medida preventiva I. No caso de o som ser moderado, quando _N_ está no intervalo (48 dB, 55 dB), deve ser utilizada a medida preventiva II. Quando o som é moderado alto, que equivale a _N_ no intervalo (55 dB, 80 dB), a medida preventiva a ser usada é a III. Se _N_ estiver no intervalo (80 dB, 115 dB), quando o som é considerado alto, deve ser utilizada a medida preventiva IV. E se o som é considerado muito alto, com _N_ maior que 115 dB, deve-se utilizar a medida preventiva V.  
Uma nova máquina, com ![](https://enem.dev/2023/questions/152/13f26008-1dcf-404f-b3cf-aae104a036c1.png), foi adquirida e será classificada de acordo com o nível de ruído que produz.  
Considere 0,3 como aproximação para ![](https://enem.dev/2023/questions/152/717fdd2f-5eef-48c9-9211-8f62bdb2639c.png).","['https://enem.dev/2023/questions/152/30b0ee85-ac44-4eca-a7c9-54bd70f9c069.png', 'https://enem.dev/2023/questions/152/40f43a4f-f8da-44a9-a02c-f20ba89a48ce.png', 'https://enem.dev/2023/questions/152/13f26008-1dcf-404f-b3cf-aae104a036c1.png', 'https://enem.dev/2023/questions/152/717fdd2f-5eef-48c9-9211-8f62bdb2639c.png']",B,O funcionário que operará a nova máquina deverá adotar a medida preventiva,"[{'letter': 'A', 'text': 'I.', 'file': None, 'isCorrect': False}, {'letter': 'B', 'text': 'II.', 'file': None, 'isCorrect': True}, {'letter': 'C', 'text': 'III.', 'file': None, 'isCorrect': False}, {'letter': 'D', 'text': 'IV.', 'file': None, 'isCorrect': False}, {'letter': 'E', 'text': 'V.', 'file': None, 'isCorrect': False}]",Difícil,Álgebra e Funções,Funções Exponenciais e Logarítmicas
17,Questão 153 - ENEM 2023,153,ciencias-humanas,2023,"Um supermercado conta com cinco caixas disponíveis para pagamento. Foram instaladas telas que apresentam o tempo médio gasto por cada caixa para iniciar e finalizar o atendimento de cada cliente, e o número de pessoas presentes na fila de cada caixa em tempo real. Um cliente, na hora de passar sua compra, sabendo que cada um dos cinco caixas iniciará um novo atendimento naquele momento, pretende gastar o menor tempo possível de espera na fila. Ele observa que as telas apresentavam as informações a seguir.  
• Caixa I: atendimento 12 minutos, 5 pessoas na fila.  
• Caixa II: atendimento 6 minutos, 9 pessoas na fila.  
• Caixa III: atendimento 5 minutos, 6 pessoas na fila.  
• Caixa IV: atendimento 15 minutos, 2 pessoas na fila.  
• Caixa V: atendimento 9 minutos, 3 pessoas na fila.",[],E,"Para alcançar seu objetivo, o cliente deverá escolher o caixa","[{'letter': 'A', 'text': 'I.', 'file': None, 'isCorrect': False}, {'letter': 'B', 'text': 'II.', 'file': None, 'isCorrect': False}, {'letter': 'C', 'text': 'III.', 'file': None, 'isCorrect': False}, {'letter': 'D', 'text': 'IV.', 'file': None, 'isCorrect': False}, {'letter': 'E', 'text': 'V.', 'file': None, 'isCorrect': True}]",Fácil,Matemática Básica,Operações com Frações / Razão e Proporção
18,Questão 154 - ENEM 2023,154,ciencias-humanas,2023,"As figuras pintadas no quadro da sala de estar de uma residência representam as silhuetas de parte das torres de um castelo e, ao fundo, a de uma lua cheia. A lua foi pintada na forma de um círculo, e o telhado da torre mais alta, na forma de triângulo equilátero, foi pintado sobrepondo parte da lua. O centro da lua coincide com um dos vértices do telhado da torre mais alta.

![](https://enem.dev/2023/questions/154/d39268bf-82aa-4063-8bcf-dfdafa4a3aa8.png)",['https://enem.dev/2023/questions/154/d39268bf-82aa-4063-8bcf-dfdafa4a3aa8.png'],B,"Nesse quadro, a parte da lua escondida atrás da torre mais alta do castelo pode ser representada por um","[{'letter': 'A', 'text': 'Cone.', 'file': None, 'isCorrect': False}, {'letter': 'B', 'text': 'Setor circular.', 'file': None, 'isCorrect': True}, {'letter': 'C', 'text': 'Segmento circular.', 'file': None, 'isCorrect': False}, {'letter': 'D', 'text': 'Triângulo isósceles.', 'file': None, 'isCorrect': False}, {'letter': 'E', 'text': 'Arco de circunferência.', 'file': None, 'isCorrect': False}]",Média,Geometria Plana,Áreas de Figuras Planas
19,Questão 155 - ENEM 2023,155,matematica,2023,"Na planta baixa de um clube, a piscina é representada por um quadrado cuja área real mede 400 m². Ao redor dessa piscina, será construída uma calçada, de largura constante igual a 5 m.

![](https://enem.dev/2023/questions/155/05746583-c107-4dd6-8a3b-7e7d0da99377.png)",['https://enem.dev/2023/questions/155/05746583-c107-4dd6-8a3b-7e7d0da99377.png'],D,"Qual é a medida da área, em metro quadrado, ocupada pela calçada?","[{'letter': 'A', 'text': '1.000', 'file': None, 'isCorrect': False}, {'letter': 'B', 'text': '900', 'file': None, 'isCorrect': False}, {'letter': 'C', 'text': '600', 'file': None, 'isCorrect': False}, {'letter': 'D', 'text': '500', 'file': None, 'isCorrect': True}, {'letter': 'E', 'text': '400', 'file': None, 'isCorrect': False}]",Média,Geometria Plana,Áreas de Figuras Planas
20,Questão 156 - ENEM 2023,156,matematica,2023,"Uma pessoa caminha por 30 minutos e utiliza um aplicativo instalado em seu celular para monitorar a variação da intensidade do sinal de internet recebido pelo aparelho durante o deslocamento. Chegando ao seu destino, o aplicativo forneceu este gráfico:

![](https://enem.dev/2023/questions/156/e9e0b793-5535-48e6-87c6-5516e6d7c8cd.png)",['https://enem.dev/2023/questions/156/e9e0b793-5535-48e6-87c6-5516e6d7c8cd.png'],A,"Por quantos minutos, durante essa caminhada, o celular dessa pessoa ficou sem receber sinal de internet?","[{'letter': 'A', 'text': '6', 'file': None, 'isCorrect': True}, {'letter': 'B', 'text': '8', 'file': None, 'isCorrect': False}, {'letter': 'C', 'text': '10', 'file': None, 'isCorrect': False}, {'letter': 'D', 'text': '14', 'file': None, 'isCorrect': False}, {'letter': 'E', 'text': '24', 'file': None, 'isCorrect': False}]",Fácil,Estatística e Probabilidade,Análise de Gráficos/Tabelas
21,Questão 157 - ENEM 2023,157,matematica,2023,"Um professor, para promover a aprendizagem dos estudantes em estatística, propôs uma atividade. O objetivo era verificar o percentual de estudantes com massa corporal abaixo da média e altura acima da média de um grupo de estudantes. Para isso, usando uma balança e uma fita métrica, avaliou uma amostra de dez estudantes, anotando as medidas observadas. O gráfico apresenta a massa corporal, em quilograma, e a altura, em metro, obtidas na atividade

![](https://enem.dev/2023/questions/157/13cfbc97-0034-4904-9100-ff5ca3f6504e.png)

Após a coleta dos dados, os estudantes calcularam a média dos valores obtidos, referentes à massa corporal e à altura, obtendo, respectivamente, 80 kg e 1,65 m.",['https://enem.dev/2023/questions/157/13cfbc97-0034-4904-9100-ff5ca3f6504e.png'],B,Qual é o percentual de estudantes dessa amostra com massa corporal abaixo da média e altura acima da média?,"[{'letter': 'A', 'text': '10', 'file': None, 'isCorrect': False}, {'letter': 'B', 'text': '20', 'file': None, 'isCorrect': True}, {'letter': 'C', 'text': '30', 'file': None, 'isCorrect': False}, {'letter': 'D', 'text': '50', 'file': None, 'isCorrect': False}, {'letter': 'E', 'text': '70', 'file': None, 'isCorrect': False}]",Média,Estatística e Probabilidade,Média (Aritmética/Ponderada) / Análise de Gráficos/Tabelas
